Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10
 ,MaOEA-DS,MaOEA-DES,RVEA,NSGA-III,MOEA/DD,1by1EA,MOMBI-II,KnEA,tDEA
1,3.444e+01(2.78e+00)[1] ,4.126e+01(3.10e+00)[2]+,6.899e+01(1.17e+01)[6]+,5.323e+01(6.45e+00)[4]+,1.953e+02(3.04e+01)[9]+,1.703e+02(2.03e+01)[8]+,1.529e+02(1.32e+01)[7]+,4.975e+01(7.39e+00)[3]+,5.733e+01(7.58e+00)[5]+
2,1.005e+02(9.50e+00)[1] ,1.211e+02(1.17e+01)[3]+,1.177e+02(1.07e+01)[2]+,1.563e+02(2.13e+01)[4]+,4.643e+02(4.55e+01)[9]+,3.219e+02(4.49e+01)[8]+,3.068e+02(2.40e+01)[7]+,1.784e+02(3.64e+01)[6]+,1.709e+02(2.75e+01)[5]+
3,2.007e+02(2.75e+01)[1] ,2.436e+02(4.67e+01)[3]+,2.072e+02(2.44e+01)[2]=,3.445e+02(4.97e+01)[5]+,6.925e+02(4.44e+01)[9]+,4.947e+02(6.84e+01)[8]+,4.492e+02(2.97e+01)[6]+,4.554e+02(7.83e+01)[7]+,3.163e+02(3.61e+01)[4]+
4,2.898e+02(3.36e+01)[1] ,3.122e+02(4.48e+01)[3]=,2.949e+02(4.37e+01)[2]=,4.502e+02(6.87e+01)[5]+,1.020e+03(5.55e+01)[9]+,7.063e+02(6.93e+01)[7]+,5.007e+02(3.72e+01)[6]+,7.167e+02(1.75e+02)[8]+,3.996e+02(8.18e+01)[4]+
5,3.920e+01(2.73e+00)[1] ,4.664e+01(4.09e+00)[2]+,7.414e+01(1.01e+01)[6]+,5.408e+01(4.88e+00)[3]+,1.791e+02(2.71e+01)[9]+,1.150e+02(1.91e+01)[8]+,1.012e+02(7.08e+00)[7]+,5.982e+01(1.18e+01)[5]+,5.789e+01(5.21e+00)[4]+
6,8.285e+01(1.07e+01)[1] ,1.124e+02(1.45e+01)[3]+,1.077e+02(8.77e+00)[2]+,1.552e+02(3.43e+01)[5]+,3.273e+02(3.36e+01)[9]+,2.680e+02(3.26e+01)[8]+,2.247e+02(1.96e+01)[7]+,2.031e+02(4.49e+01)[6]+,1.364e+02(2.17e+01)[4]+
7,1.444e+02(1.41e+01)[1] ,1.857e+02(2.33e+01)[3]+,1.700e+02(2.46e+01)[2]+,2.717e+02(2.87e+01)[5]+,8.695e+02(8.60e+01)[9]+,7.056e+02(1.11e+02)[8]+,5.540e+02(4.30e+01)[7]+,2.774e+02(4.76e+01)[6]+,2.556e+02(2.31e+01)[4]+
8,2.454e+02(2.78e+01)[1] ,2.915e+02(4.46e+01)[3]+,2.498e+02(3.74e+01)[2]=,4.131e+02(5.18e+01)[5]+,8.720e+02(5.31e+01)[9]+,6.750e+02(1.01e+02)[8]+,5.910e+02(4.66e+01)[6]+,6.041e+02(8.88e+01)[7]+,4.083e+02(5.97e+01)[4]+
9,4.254e+01(6.72e+00)[1] ,4.958e+01(5.76e+00)[3]+,4.557e+01(4.40e+00)[2]=,5.512e+01(8.53e+00)[5]+,1.807e+02(2.68e+01)[9]+,9.079e+01(1.40e+01)[7]+,9.427e+01(1.24e+01)[8]+,6.283e+01(1.09e+01)[6]+,5.470e+01(5.14e+00)[4]+
