Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10
 ,MaOEA-DS,MaOEA-DES,RVEA,NSGA-III,MOEA/DD,1by1EA,MOMBI-II,KnEA,tDEA
1,5.122e+01(3.17e-01)[6] ,5.211e+01(5.92e-01)[7]+,4.597e+01(2.34e+00)[2]-,4.663e+01(6.56e-01)[3]-,1.444e+02(7.06e+00)[9]+,4.808e+01(2.04e+00)[4]-,5.291e+01(5.98e-01)[8]+,5.083e+01(3.27e-01)[5]-,4.564e+01(3.81e-01)[1]-
2,8.931e+01(4.78e-01)[5] ,9.132e+01(6.02e-01)[8]+,8.715e+01(3.26e+00)[3]-,8.607e+01(1.13e+00)[2]-,1.982e+02(1.01e+01)[9]+,8.862e+01(3.18e+00)[4]-,9.129e+01(1.09e+00)[7]+,8.947e+01(4.62e-01)[6]=,8.397e+01(4.44e-01)[1]-
3,1.304e+02(1.62e+00)[5] ,1.308e+02(9.42e-01)[6]=,1.278e+02(1.02e+00)[2]-,1.321e+02(1.92e+00)[7]+,2.455e+02(1.46e+00)[9]+,1.299e+02(6.50e-01)[3]=,1.323e+02(1.17e+00)[8]+,1.303e+02(8.23e-01)[4]=,1.242e+02(8.44e-01)[1]-
4,1.735e+02(1.16e+00)[4] ,1.734e+02(8.83e-01)[3]=,1.742e+02(2.40e+00)[5]=,1.744e+02(9.32e-01)[6]+,2.991e+02(3.73e+00)[9]+,1.773e+02(6.26e+00)[8]+,1.749e+02(1.14e+00)[7]+,1.730e+02(8.97e-01)[2]=,1.668e+02(9.35e-01)[1]-
5,6.125e+01(5.35e-01)[6] ,6.128e+01(3.37e-01)[7]=,5.831e+01(3.26e+00)[2]-,5.986e+01(7.03e-01)[3]-,1.610e+02(8.10e+00)[9]+,6.006e+01(2.57e+00)[4]-,6.226e+01(1.60e+00)[8]+,6.027e+01(1.57e+00)[5]-,5.501e+01(2.76e+00)[1]-
6,1.020e+02(7.30e-01)[4] ,1.020e+02(8.20e-01)[5]=,9.989e+01(3.71e+00)[3]-,1.029e+02(8.91e-01)[7]+,2.145e+02(1.08e+01)[9]+,9.947e+01(3.34e+00)[2]-,1.034e+02(1.73e+00)[8]+,1.021e+02(7.98e-01)[6]=,9.537e+01(5.78e-01)[1]-
7,1.131e+02(4.86e-01)[6] ,1.151e+02(5.92e+00)[8]=,1.108e+02(8.91e-01)[2]-,1.122e+02(4.40e-01)[4]-,2.199e+02(1.55e+00)[9]+,1.129e+02(7.59e-01)[5]=,1.134e+02(5.99e-01)[7]=,1.114e+02(3.34e-01)[3]-,1.062e+02(3.56e-01)[1]-
8,1.544e+02(5.88e-01)[4] ,1.594e+02(9.03e+00)[8]+,1.551e+02(5.99e-01)[5]+,1.538e+02(1.45e+00)[3]=,2.763e+02(1.59e+00)[9]+,1.572e+02(7.09e-01)[7]+,1.557e+02(5.55e-01)[6]+,1.530e+02(7.04e-01)[2]-,1.480e+02(7.10e-01)[1]-
9,6.511e+01(6.52e-01)[4] ,6.648e+01(4.67e-01)[7]+,6.088e+01(1.52e+00)[2]-,6.529e+01(1.24e+00)[5]=,1.609e+02(5.13e+00)[9]+,6.208e+01(1.63e+00)[3]-,6.836e+01(9.00e-01)[8]+,6.539e+01(6.53e-01)[6]=,6.020e+01(5.08e-01)[1]-
10,1.006e+02(7.52e-01)[4] ,1.025e+02(7.14e-01)[7]+,9.762e+01(8.46e-01)[2]-,1.025e+02(6.30e-01)[6]+,2.010e+02(4.68e+00)[9]+,9.889e+01(1.25e+00)[3]-,1.045e+02(1.24e+00)[8]+,1.014e+02(1.04e+00)[5]+,9.683e+01(7.49e-01)[1]-
11,1.205e+02(7.09e-01)[3] ,1.225e+02(6.13e-01)[6]+,1.205e+02(1.30e+00)[2]=,1.231e+02(6.01e-01)[7]+,2.376e+02(4.63e+00)[9]+,1.220e+02(1.38e+00)[4]+,1.242e+02(1.01e+00)[8]+,1.225e+02(8.44e-01)[5]+,1.169e+02(1.05e+00)[1]-
12,1.404e+02(8.03e-01)[2] ,1.430e+02(4.43e-01)[3]+,1.435e+02(5.12e-01)[5]+,1.433e+02(7.34e-01)[4]+,2.654e+02(1.36e+00)[9]+,1.457e+02(5.53e-01)[8]+,1.452e+02(4.18e-01)[7]+,1.436e+02(6.12e-01)[6]+,1.383e+02(6.33e-01)[1]-
13,5.986e+01(3.85e-01)[5] ,6.133e+01(3.78e-01)[7]+,5.697e+01(4.91e-01)[2]-,5.845e+01(1.18e+00)[3]-,1.529e+02(1.26e+00)[9]+,5.937e+01(5.69e-01)[4]-,6.339e+01(4.63e-01)[8]+,6.083e+01(5.74e-01)[6]+,5.595e+01(4.59e-01)[1]-
14,8.275e+01(4.76e-01)[3] ,8.466e+01(3.87e-01)[7]+,8.220e+01(1.06e+00)[2]-,8.417e+01(3.72e-01)[4]+,1.873e+02(1.27e+00)[9]+,8.437e+01(5.11e-01)[6]+,8.614e+01(2.41e-01)[8]+,8.428e+01(5.16e-01)[5]+,7.899e+01(4.98e-01)[1]-
15,1.391e+02(1.21e+00)[2] ,1.398e+02(7.95e-01)[3]=,1.421e+02(1.95e+00)[6]+,1.421e+02(1.05e+00)[5]+,2.646e+02(1.88e+00)[9]+,1.423e+02(1.64e+00)[7]+,1.442e+02(1.34e+00)[8]+,1.418e+02(8.01e-01)[4]+,1.355e+02(1.05e+00)[1]-
16,1.639e+02(8.20e-01)[4] ,1.631e+02(8.89e-01)[2]-,1.660e+02(2.01e+00)[7]+,1.663e+02(9.40e-01)[8]+,2.973e+02(4.83e+00)[9]+,1.659e+02(2.55e+00)[6]+,1.652e+02(5.45e+00)[5]=,1.633e+02(3.54e+00)[3]=,1.563e+02(3.33e+00)[1]-
,,9/6/1,4/2/10,9/2/5,16/0/0,7/2/7,14/2/0,6/6/4,0/0/16
